year,co2
86186 BCE,217.8
85631 BCE,223.63
85078 BCE,221.06
84548 BCE,223.38
83941 BCE,228.76
83417 BCE,234.69
82987 BCE,238.42
82407 BCE,243.16
81991 BCE,250.79
81604 BCE,247.1
81038 BCE,246.32
80577 BCE,240.87
80119 BCE,238.89
79761 BCE,234.13
79257 BCE,230.33
78772 BCE,233.92
78380 BCE,230.6
77928 BCE,234.74
77460 BCE,229.26
77020 BCE,227.3
76558 BCE,224.14
76131 BCE,226.65
75666 BCE,224.92
75106 BCE,231.68
74747 BCE,238.01
74297 BCE,239.34
73901 BCE,249.94
73595 BCE,249.52
73118 BCE,243.27
72576 BCE,241.24
72271 BCE,231.33
71801 BCE,232.74
71269 BCE,230.89
70916 BCE,232.33
70540 BCE,232.79
70143 BCE,239.46
69744 BCE,237.56
69329 BCE,235.02
68979 BCE,225.17
68477 BCE,220.33
68102 BCE,215.55
67642 BCE,211.26
67132 BCE,205.42
66670 BCE,203.43
66196 BCE,200.17
65780 BCE,203.76
65365 BCE,201.14
65010 BCE,207.21
64489 BCE,204.39
63987 BCE,200.59
63815 BCE,198.17
63596 BCE,208.98
63097 BCE,199.17
62917 BCE,201.67
62707 BCE,203.7
62164 BCE,199.73
61947 BCE,197.24
61606 BCE,197.4
61011 BCE,200.15
60825 BCE,202.71
60602 BCE,202.56
59951 BCE,206.38
59604 BCE,210.9
59285 BCE,210.57
59111 BCE,207.95
58868 BCE,213.78
58567 BCE,217.25
58423 BCE,212.87
58160 BCE,216.66
57783 BCE,223.45
57430 BCE,226.35
57155 BCE,231.29
56483 BCE,223.15
56267 BCE,224.35
55894 BCE,223.72
55526 BCE,217.38
55261 BCE,215.7
54554 BCE,212.44
54287 BCE,207.67
53960 BCE,210.27
53603 BCE,214.78
53343 BCE,208.19
53064 BCE,216.86
52745 BCE,213.89
52437 BCE,217.96
52207 BCE,220.37
51856 BCE,221.14
51450 BCE,223.26
51158 BCE,223.72
50851 BCE,221.15
50624 BCE,220.72
50435 BCE,219.08
50137 BCE,213.82
49830 BCE,215.08
49481 BCE,211.57
49079 BCE,207.64
48577 BCE,207.41
48271 BCE,206.74
48057 BCE,204.38
47778 BCE,203.87
47513 BCE,204.06
47353 BCE,200.12
47038 BCE,201.58
46478 BCE,200.98
46273 BCE,206.18
45994 BCE,205.66
45760 BCE,203.79
45574 BCE,204.26
45365 BCE,207.6
45136 BCE,210.27
44938 BCE,210.84
44796 BCE,214.18
44686 BCE,216.42
44359 BCE,218.35
44231 BCE,219.25
44107 BCE,221.77
43927 BCE,222.72
43746 BCE,217.51
43510 BCE,214.5
43330 BCE,213.92
43192 BCE,207.95
43046 BCE,211.49
42866 BCE,210.44
42706 BCE,212.29
42541 BCE,204.83
42400 BCE,206.22
42254 BCE,202
42145 BCE,204.31
41859 BCE,201.69
41711 BCE,203.18
41566 BCE,204.22
41401 BCE,201.66
41222 BCE,203.16
41018 BCE,204.26
40900 BCE,206.35
40678 BCE,204.83
40366 BCE,200.9
39951 BCE,199.89
39809 BCE,201.12
39656 BCE,205.49
39354 BCE,204.19
39218 BCE,201.53
38957 BCE,200.97
38804 BCE,200.47
38603 BCE,201.48
38536 BCE,201.32
38358 BCE,197.9
38195 BCE,193.69
38162 BCE,193.08
38093 BCE,192.6
37951 BCE,197.55
37935 BCE,193.87
37807 BCE,193.58
37759 BCE,196.67
37671 BCE,195.7
37565 BCE,200.4
37504 BCE,198.14
37453 BCE,191.53
37429 BCE,204.78
37390 BCE,207.87
37370 BCE,209.33
37353 BCE,209.5
37316 BCE,208.69
37171 BCE,207.32
37104 BCE,204.28
37027 BCE,202.34
37006 BCE,205.99
36925 BCE,205.65
36863 BCE,206.09
36773 BCE,206.54
36721 BCE,204.46
36672 BCE,204.79
36624 BCE,208.23
36583 BCE,210.08
